Date,Open,High,Low,Close,Adj Close,Volume,3MA,5MA
2012.1.18,5.338,5.376,5.25,5.362,5.362,6301000,5.08,5.3072
2012.1.19,5.438,5.548,5.322,5.352,5.352,6231500,5.344666667,5.2484
2012.1.20,5.38,5.4,5.28,5.32,5.32,3311500,5.344666667,5.1824
2012.1.23,5.362,5.442,5.32,5.354,5.354,2973000,5.342,5.3416
2012.1.24,5.326,5.536,5.288,5.484,5.484,4290000,5.386,5.3744
2012.1.25,5.454,5.602,5.41,5.594,5.594,3056000,5.477333333,5.4208
2012.1.26,5.614,5.916,5.6,5.788,5.788,6355500,5.622,5.508
2012.1.27,5.7,5.944,5.7,5.866,5.866,3742000,5.749333333,5.6172
2012.1.30,5.898,5.922,5.706,5.914,5.914,3645000,5.856,5.7292
2012.1.31,5.98,6,5.774,5.814,5.814,4782000,5.864666667,5.7952
2012.2.1,5.814,5.94,5.8,5.916,5.916,2616000,5.881333333,5.8596
2012.2.2,5.944,6.176,5.922,6.05,6.05,4028500,5.926666667,5.912
2012.2.3,6.082,6.266,6.05,6.23,6.23,3822500,6.065333333,5.9848
2012.2.6,6.22,6.38,6.21,6.36,6.36,3260500,6.213333333,6.074
2012.2.7,6.36,6.36,6.164,6.32,6.32,5108000,6.303333333,6.1752
2012.2.8,6.32,6.402,6.258,6.386,6.386,3118500,6.355333333,6.2692
2012.2.9,6.4,6.58,6.286,6.516,6.516,6385500,6.407333333,6.3624
2012.2.10,6.452,6.454,5.968,6.22,6.22,9371000,6.374,6.3604
2012.2.13,6.31,6.412,6.18,6.298,6.298,5789500,6.344666667,6.348
2012.2.14,6.348,6.758,6.28,6.634,6.634,9054000,6.384,6.4108
2012.2.15,6.62,6.882,6.454,6.72,6.72,13809000,6.550666667,6.4776
2012.2.16,6.7,6.902,6.508,6.836,6.836,11098500,6.73,6.5416
2012.2.17,6.798,6.994,6.7,6.994,6.994,6883500,6.85,6.6964
2012.2.21,6.974,6.974,6.762,6.9,6.9,5679000,6.91,6.8168
2012.2.22,6.9,6.944,6.5,6.844,6.844,8273000,6.912666667,6.8588
2012.2.23,6.798,6.994,6.712,6.906,6.906,4102000,6.883333333,6.896
2012.2.24,6.846,6.904,6.654,6.75,6.75,4799500,6.833333333,6.8788
2012.2.27,6.682,6.8,6.6,6.724,6.724,3030000,6.793333333,6.8248
2012.2.28,6.728,6.888,6.634,6.762,6.762,3061000,6.745333333,6.7972
2012.2.29,6.762,6.824,6.628,6.682,6.682,2678500,6.722666667,6.7648
2012.3.1,6.702,6.9,6.662,6.882,6.882,3517500,6.775333333,6.76
2012.3.2,6.88,6.9,6.742,6.808,6.808,2750000,6.790666667,6.7716
2012.3.5,6.87,6.88,6.692,6.754,6.754,2335000,6.814666667,6.7776
2012.3.6,6.65,6.656,6.524,6.622,6.622,2869000,6.728,6.7496
2012.3.7,6.624,6.662,6.582,6.624,6.624,1824500,6.666666667,6.738
2012.3.8,6.622,6.698,6.608,6.614,6.614,3166500,6.62,6.6844
2012.3.9,6.64,7.062,6.64,6.948,6.948,7767000,6.728666667,6.7124
2012.3.12,6.938,7.258,6.92,7.202,7.202,9816500,6.921333333,6.802
2012.3.13,7.302,7.318,7.1,7.218,7.218,5008000,7.122666667,6.9212
