Date,Open,High,Low,Close,Adj Close,Volume,3MA,5MA
2003.1.30,5860,5910,5790,5830,4522.897461,35065000,5933.333333,6008
2003.1.31,5830,5830,5830,5830,4522.897461,0,5830,5922
2003.2.3,5780,5890,5720,5860,4546.17041,28670000,5840,5898
2003.2.4,5860,5960,5840,5880,4561.687988,40850000,5856.666667,5846
2003.2.5,5780,5910,5780,5820,4515.140625,21430000,5853.333333,5844
2003.2.6,5810,5840,5630,5660,4391.010742,38460000,5786.666667,5810
2003.2.7,5600,5640,5400,5480,4251.368164,48695000,5653.333333,5740
2003.2.10,5420,5460,5350,5390,4181.546387,39390000,5510,5646
2003.2.11,5400,5510,5190,5430,4212.579102,52050000,5433.333333,5556
2003.2.12,5320,5600,5320,5600,4344.463379,38100000,5473.333333,5512
2003.2.13,5580,5610,5430,5430,4212.579102,38935000,5486.666667,5466
2003.2.14,5400,5460,5320,5460,4235.852051,31730000,5496.666667,5462
2003.2.17,5640,5840,5600,5810,4507.381836,43155000,5566.666667,5546
2003.2.18,5820,5870,5720,5860,4546.17041,25315000,5710,5632
2003.2.19,6000,6160,5940,5940,4608.234375,49545000,5870,5700
2003.2.20,5880,6060,5880,6050,4693.571777,33430000,5950,5824
2003.2.21,6100,6100,5990,6040,4685.816895,21490000,6010,5940
2003.2.24,6060,6280,6060,6190,4802.18457,33000000,6093.333333,6016
2003.2.25,6000,6040,5790,5790,4491.864258,47465000,6006.666667,6002
2003.2.26,5790,5840,5650,5680,4406.526855,32980000,5886.666667,5950
2003.2.27,5600,5710,5520,5670,4398.770996,37950000,5713.333333,5874
2003.2.28,5670,5740,5580,5590,4336.706055,20490000,5646.666667,5784
2003.3.3,5590,5900,5590,5900,4577.202637,25520000,5720,5726
2003.3.4,5750,5780,5650,5700,4422.043457,25405000,5730,5708
2003.3.5,5560,5590,5460,5520,4282.398438,33420000,5706.666667,5676
2003.3.6,5580,5580,5430,5520,4282.398438,19110000,5580,5646
2003.3.7,5460,5700,5400,5620,4359.979492,39685000,5553.333333,5652
2003.3.10,5690,5780,5640,5730,4445.318359,29210000,5623.333333,5618
2003.3.11,5690,5800,5600,5750,4460.833496,51570000,5700,5628
2003.3.12,5750,5830,5730,5800,4499.623047,50580000,5760,5684
2003.3.13,5810,5830,5650,5800,4499.623047,53845000,5783.333333,5740
2003.3.14,5980,6060,5860,5930,4600.478027,38295000,5843.333333,5802
2003.3.17,5930,5940,5640,5760,4468.59082,38500000,5830,5808
2003.3.18,5990,6030,5870,5980,4639.266602,42135000,5890,5854
2003.3.19,5920,6020,5880,5920,4592.718262,29355000,5886.666667,5878
2003.3.20,6000,6230,5960,6230,4833.215332,59500000,6043.333333,5964
2003.3.21,6230,6330,6170,6300,4887.521973,31155000,6150,6038
2003.3.24,6340,6340,6220,6250,4848.730957,41540000,6260,6136
2003.3.25,6140,6140,6060,6120,4747.876465,44210000,6223.333333,6164
2003.3.26,6160,6210,6060,6080,4716.847656,45140000,6150,6196
2003.3.27,5980,6050,5930,5970,4631.508301,24130000,6056.666667,6144
2003.3.28,5980,6140,5930,6140,4763.393066,33220000,6063.333333,6112
2003.3.31,5960,6000,5680,5680,4406.526855,46440000,5930,5998
2003.4.1,5560,5680,5480,5680,4406.526855,49730000,5833.333333,5910
2003.4.2,5700,5740,5550,5580,4328.947754,60345000,5646.666667,5810
2003.4.3,5720,5750,5580,5580,4328.947754,59235000,5613.333333,5732
2003.4.4,5520,5710,5440,5670,4398.770996,53760000,5610,5638
2003.4.7,5760,6010,5710,5980,4639.266602,49785000,5743.333333,5698
2003.4.8,5840,6030,5820,5980,4639.266602,40425000,5876.666667,5758
2003.4.9,5840,5880,5720,5730,4445.318359,42470000,5896.666667,5788
2003.4.10,5730,5820,5670,5760,4468.59082,54070000,5823.333333,5824
2003.4.11,5700,5880,5690,5700,4422.043457,39665000,5730,5830
2003.4.14,5670,5880,5670,5710,4429.80127,35175000,5723.333333,5776
2003.4.15,5860,5930,5810,5920,4592.718262,35260000,5776.666667,5764
2003.4.16,6100,6250,6070,6210,4817.700195,55085000,5946.666667,5860
2003.4.17,6140,6210,6040,6040,4685.816895,34275000,6056.666667,5916
2003.4.18,6210,6300,6060,6300,4887.521973,40785000,6183.333333,6036
2003.4.21,6240,6340,6170,6180,4794.425781,20485000,6173.333333,6130
2003.4.22,6100,6140,5950,5970,4631.508301,35690000,6150,6140
2003.4.23,6050,6110,5980,6000,4654.78125,23690000,6050,6098
2003.4.24,5980,6040,5840,5900,4577.202637,23805000,5956.666667,6070
2003.4.25,5800,5840,5700,5750,4460.833496,35760000,5883.333333,5960
2003.4.28,5690,5840,5660,5700,4422.043457,27240000,5783.333333,5864
2003.4.29,5870,6030,5820,6010,4662.539551,31235000,5820,5872
2003.4.30,6040,6130,5990,6100,4732.361816,32040000,5936.666667,5892
2003.5.1,6100,6100,6100,6100,4732.361816,0,6070,5932
2003.5.2,6100,6200,6010,6140,4763.393066,41120000,6113.333333,6010
2003.5.5,6140,6140,6140,6140,4763.393066,0,6126.666667,6098
2003.5.6,6210,6320,6210,6260,4856.491211,35920000,6180,6148
2003.5.7,6340,6400,6200,6390,4957.344238,49160000,6263.333333,6206
2003.5.8,6390,6390,6390,6390,4957.344238,0,6346.666667,6264
2003.5.9,6320,6370,6260,6340,4918.553711,22870000,6373.333333,6304
2003.5.12,6500,6590,6460,6540,5073.712402,36610000,6423.333333,6384
2003.5.13,6540,6540,6290,6320,4903.037109,29390000,6400,6396
2003.5.14,6260,6300,6170,6190,4802.18457,24465000,6350,6356
2003.5.15,6240,6340,6150,6300,4887.521973,28510000,6270,6338
2003.5.16,6260,6310,6140,6140,4763.393066,31405000,6210,6298
2003.5.19,6050,6090,5980,6020,4670.298828,31090000,6153.333333,6194
2003.5.20,5920,6140,5910,6130,4755.635742,23500000,6096.666667,6156
2003.5.21,6090,6170,6050,6080,4716.847656,20475000,6076.666667,6134
2003.5.22,6030,6170,5970,6000,4654.78125,24650000,6070,6074
2003.5.23,6080,6250,6070,6240,4840.974121,21445000,6106.666667,6094
2003.5.26,6240,6370,6170,6340,4918.553711,21220000,6193.333333,6158
2003.5.27,6300,6360,6230,6280,4872.006348,12840000,6286.666667,6188
2003.5.28,6480,6510,6370,6420,4980.618652,34535000,6346.666667,6256
2003.5.29,6420,6540,6360,6490,5034.924316,34130000,6396.666667,6354
2003.5.30,6490,6510,6400,6480,5027.165039,23195000,6463.333333,6402
2003.6.2,6580,6700,6580,6680,5182.325684,33215000,6550,6470
2003.6.3,6550,6600,6470,6470,5019.408203,26775000,6543.333333,6508
2003.6.4,6520,6580,6430,6580,5104.745605,20430000,6576.666667,6540
2003.6.5,6660,6730,6620,6670,5174.565918,27350000,6573.333333,6576
2003.6.6,6670,6670,6670,6670,5174.565918,0,6640,6614
2003.6.9,6730,6890,6690,6880,5337.481934,38905000,6740,6654
2003.6.10,6800,6940,6780,6880,5337.481934,20680000,6810,6736
2003.6.11,6960,7050,6880,6900,5352.999023,27520000,6886.666667,6800
2003.6.12,7000,7040,6950,7000,5430.579102,45395000,6926.666667,6866
2003.6.13,7080,7120,6970,7010,5438.337402,29815000,6970,6934
2003.6.16,6900,6960,6820,6820,5290.937012,19060000,6943.333333,6922
2003.6.17,7060,7150,6990,7140,5539.190918,42120000,6990,6974
2003.6.18,7030,7180,7030,7080,5492.643066,19355000,7013.333333,7010
2003.6.19,7200,7500,7140,7400,5740.899414,48170000,7206.666667,7090
2003.6.20,7300,7400,7280,7280,5647.802246,23375000,7253.333333,7144
2003.6.23,7280,7300,7120,7140,5539.190918,20565000,7273.333333,7208
2003.6.24,7000,7050,6980,7030,5453.853516,22885000,7150,7186
2003.6.25,7050,7210,7020,7190,5577.982422,17285000,7120,7208
2003.6.26,7050,7350,7050,7290,5655.560059,17265000,7170,7186
2003.6.27,7340,7410,7220,7220,5601.255859,22770000,7233.333333,7174
2003.6.30,7160,7210,7070,7100,5508.159668,15605000,7203.333333,7166
2003.7.1,7100,7250,7040,7240,5616.771973,13000000,7186.666667,7208
2003.7.2,7390,7420,7310,7420,5756.413574,25990000,7253.333333,7254
2003.7.3,7640,7820,7580,7640,5927.089355,58735000,7433.333333,7324
2003.7.4,7630,7710,7580,7680,5958.121094,12565000,7580,7416
2003.7.7,7740,7750,7670,7720,5989.154297,14800000,7680,7540
2003.7.8,7990,8000,7910,7970,6183.103516,62230000,7790,7686
2003.7.9,7980,7990,7890,7930,6152.072266,18865000,7873.333333,7788
2003.7.10,7880,7960,7840,7840,6082.249023,25675000,7913.333333,7828
2003.7.11,7760,7880,7700,7880,6113.281738,22460000,7883.333333,7868
2003.7.14,7900,8210,7890,8190,6353.777344,46710000,7970,7962
2003.7.15,8220,8230,8080,8160,6330.505371,35205000,8076.666667,8000
2003.7.16,8300,8410,8180,8360,6485.663086,41615000,8236.666667,8086
2003.7.17,8360,8360,8360,8360,6485.663086,0,8293.333333,8190
2003.7.18,7950,8160,7950,8080,6268.44043,45980000,8266.666667,8230
2003.7.21,8040,8210,8040,8140,6314.987793,23485000,8193.333333,8220
2003.7.22,8100,8240,8090,8240,6392.566406,21290000,8153.333333,8236
2003.7.23,8300,8340,8040,8070,6260.683105,24025000,8150,8178
2003.7.24,8010,8180,7980,8130,6307.230469,25795000,8146.666667,8132
2003.7.25,8080,8160,7980,8160,6330.505371,15045000,8120,8148
2003.7.28,8300,8390,8250,8360,6485.663086,20205000,8216.666667,8192
2003.7.29,8400,8480,8360,8470,6571.000488,21905000,8330,8238
2003.7.30,8400,8470,8400,8430,6539.969238,16200000,8420,8310
2003.7.31,8400,8490,8270,8320,6454.632813,20615000,8406.666667,8348
2003.8.1,8360,8540,8360,8520,6609.791016,25115000,8423.333333,8420
2003.8.4,8400,8520,8400,8430,6539.969238,10235000,8423.333333,8434
2003.8.5,8450,8590,8450,8560,6640.823242,15605000,8503.333333,8452
2003.8.6,8400,8420,8220,8260,6408.084473,24635000,8416.666667,8418
2003.8.7,8240,8250,8090,8200,6361.536621,15665000,8340,8394
2003.8.8,8200,8240,8090,8120,6299.470703,11095000,8193.333333,8314
2003.8.11,7940,8160,7930,8160,6330.505371,17040000,8160,8260
2003.8.12,8200,8200,7950,8000,6206.376953,19490000,8093.333333,8148
2003.8.13,8120,8260,8080,8250,6400.32666,13830000,8136.666667,8146
2003.8.14,8370,8500,8270,8500,6594.276855,23680000,8250,8206
2003.8.15,8500,8500,8500,8500,6594.276855,0,8416.666667,8282
2003.8.18,8550,8580,8350,8380,6501.179688,19925000,8460,8326
2003.8.19,8650,8700,8600,8600,6671.855469,23975000,8493.333333,8446
